"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"","","","reveal","animate-transparency","18","72381","0.0-5.0-1.4","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0459tt.jpg","null","mooney","image-keyboard-response","19","72891","0.0-5.0-2.4","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","73101","0.0-5.0-0.5","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","21","77111","0.0-5.0-1.5","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0484tt.jpg","null","mooney","image-keyboard-response","22","77620","0.0-5.0-2.5","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","77830","0.0-5.0-0.6","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","24","81840","0.0-5.0-1.6","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0010tt.jpg","null","mooney","image-keyboard-response","25","82351","0.0-5.0-2.6","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","82561","0.0-5.0-0.7","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","27","86570","0.0-5.0-1.7","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0654tt.jpg","null","mooney","image-keyboard-response","28","87080","0.0-5.0-2.7","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","87291","0.0-5.0-0.8","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","30","91300","0.0-5.0-1.8","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0816tt.jpg","null","mooney","image-keyboard-response","31","91810","0.0-5.0-2.8","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","92021","0.0-5.0-0.9","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","33","96031","0.0-5.0-1.9","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0193tt.jpg","null","mooney","image-keyboard-response","34","96541","0.0-5.0-2.9","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","96750","0.0-5.0-0.10","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","36","100760","0.0-5.0-1.10","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0107tt.jpg","null","mooney","image-keyboard-response","37","101271","0.0-5.0-2.10","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","38","101481","0.0-5.0-0.11","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","39","105490","0.0-5.0-1.11","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0826tt.jpg","null","mooney","image-keyboard-response","40","106001","0.0-5.0-2.11","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","41","106210","0.0-5.0-0.12","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","42","110220","0.0-5.0-1.12","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0696tt.jpg","null","mooney","image-keyboard-response","43","110730","0.0-5.0-2.12","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","44","110940","0.0-5.0-0.13","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","45","114951","0.0-5.0-1.13","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0673tt.jpg","null","mooney","image-keyboard-response","46","115460","0.0-5.0-2.13","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","47","115670","0.0-5.0-0.14","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","48","119680","0.0-5.0-1.14","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0482tt.jpg","null","mooney","image-keyboard-response","49","120190","0.0-5.0-2.14","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","50","120398","0.0-5.0-0.15","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","51","124400","0.0-5.0-1.15","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0651tt.jpg","null","mooney","image-keyboard-response","52","124910","0.0-5.0-2.15","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","53","125120","0.0-5.0-0.16","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","54","129130","0.0-5.0-1.16","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0521tt.jpg","null","mooney","image-keyboard-response","55","129641","0.0-5.0-2.16","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","56","129850","0.0-5.0-0.17","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","57","133860","0.0-5.0-1.17","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0465tt.jpg","null","mooney","image-keyboard-response","58","134370","0.0-5.0-2.17","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","59","134579","0.0-5.0-0.18","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","60","138590","0.0-5.0-1.18","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0587tt.jpg","null","mooney","image-keyboard-response","61","139100","0.0-5.0-2.18","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","62","139300","0.0-5.0-0.19","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","63","143310","0.0-5.0-1.19","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0279tt.jpg","null","mooney","image-keyboard-response","64","143819","0.0-5.0-2.19","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","65","144030","0.0-5.0-0.20","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","66","148040","0.0-5.0-1.20","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0290tt.jpg","null","mooney","image-keyboard-response","67","148550","0.0-5.0-2.20","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","68","148760","0.0-5.0-0.21","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","69","152769","0.0-5.0-1.21","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0400tt.jpg","null","mooney","image-keyboard-response","70","153280","0.0-5.0-2.21","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","71","153490","0.0-5.0-0.22","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","72","157499","0.0-5.0-1.22","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0139tt.jpg","null","mooney","image-keyboard-response","73","158009","0.0-5.0-2.22","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","74","158220","0.0-5.0-0.23","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","75","162230","0.0-5.0-1.23","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0303tt.jpg","null","mooney","image-keyboard-response","76","162739","0.0-5.0-2.23","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","77","162950","0.0-5.0-0.24","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","78","166959","0.0-5.0-1.24","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0132tt.jpg","null","mooney","image-keyboard-response","79","167469","0.0-5.0-2.24","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","80","167679","0.0-5.0-0.25","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","81","171688","0.0-5.0-1.25","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0575tt.jpg","null","mooney","image-keyboard-response","82","172199","0.0-5.0-2.25","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","83","172409","0.0-5.0-0.26","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","84","176419","0.0-5.0-1.26","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0418tt.jpg","null","mooney","image-keyboard-response","85","176929","0.0-5.0-2.26","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","86","177139","0.0-5.0-0.27","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","87","181149","0.0-5.0-1.27","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0264tt.jpg","null","mooney","image-keyboard-response","88","181662","0.0-5.0-2.27","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","89","181869","0.0-5.0-0.28","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","90","185879","0.0-5.0-1.28","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0358tt.jpg","null","mooney","image-keyboard-response","91","186388","0.0-5.0-2.28","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","92","186599","0.0-5.0-0.29","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"","","","reveal","animate-transparency","93","190608","0.0-5.0-1.29","5b4b59fe3905740001273cfc","180","mooneymood","266753","","[]",""
"null","img/tt/0606tt.jpg","null","mooney","image-keyboard-response","94","191119","0.0-5.0-2.29","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
"69286","","","posttest","survey-text","95","260405","0.0-6.0","5b4b59fe3905740001273cfc","180","mooneymood","266753","","{""Q0"":""hostile, angry, happy, sad, alert, motivated, tired""}",""
"6346","<div style='word-wrap: break-word; width: 900px'><h1>Thank you!</h1><p>You completed the experiment. As you noticed we were interested in incidental (non-intentional) learning (not in your memory for images), and in how it is affected by in-between intentional learning of different materials. Apologies for misleading you.</p><p>Press any key to return to Prolific and confirm completion...</p></div>","32","instructions","html-keyboard-response","96","266753","0.0-7.0","5b4b59fe3905740001273cfc","180","mooneymood","266753","","",""
