"rt","stimulus","key_press","test_part","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","experiment_name","totalTime","button_pressed","responses","order"
"null","img/tt/0689tt.jpg","null","mooney","image-keyboard-response","10","345584","0.0-5.0-2.1","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","11","345785","0.0-5.0-0.2","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","12","349788","0.0-5.0-1.2","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0726tt.jpg","null","mooney","image-keyboard-response","13","350292","0.0-5.0-2.2","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","14","350497","0.0-5.0-0.3","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","15","354499","0.0-5.0-1.3","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0458tt.jpg","null","mooney","image-keyboard-response","16","355001","0.0-5.0-2.3","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","17","355205","0.0-5.0-0.4","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","18","359208","0.0-5.0-1.4","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0647tt.jpg","null","mooney","image-keyboard-response","19","359712","0.0-5.0-2.4","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","20","359915","0.0-5.0-0.5","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","21","363919","0.0-5.0-1.5","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0562tt.jpg","null","mooney","image-keyboard-response","22","364420","0.0-5.0-2.5","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","23","364622","0.0-5.0-0.6","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","24","368627","0.0-5.0-1.6","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0436tt.jpg","null","mooney","image-keyboard-response","25","369130","0.0-5.0-2.6","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","26","369332","0.0-5.0-0.7","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","27","373337","0.0-5.0-1.7","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0367tt.jpg","null","mooney","image-keyboard-response","28","373842","0.0-5.0-2.7","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","29","374045","0.0-5.0-0.8","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","30","378047","0.0-5.0-1.8","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0411tt.jpg","null","mooney","image-keyboard-response","31","378552","0.0-5.0-2.8","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","32","378756","0.0-5.0-0.9","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","33","382759","0.0-5.0-1.9","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0088tt.jpg","null","mooney","image-keyboard-response","34","383262","0.0-5.0-2.9","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"null","<div style=""font-size:60px;""> </div>","null","fixation","html-keyboard-response","35","383466","0.0-5.0-0.10","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
"","","","reveal","animate-transparency","36","387472","0.0-5.0-1.10","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","[]",""
"null","img/tt/0443tt.jpg","null","mooney","image-keyboard-response","37","387975","0.0-5.0-2.10","5b2e555e1d2f710001fb34ae","180","mooneymood","892295","","",""
