tt	gs	sol	part
img/tt/549tt.jpg	img/gs/549gs.jpg	tijger, tiger	snuit,
img/tt/556tt.jpg	img/gs/556gs.jpg	horloge, uurwerk, klok, watch, clock, time	riempje,
img/tt/558tt.jpg	img/gs/558gs.jpg	kikker, pad, toad, frog	poot,
img/tt/559tt.jpg	img/gs/559gs.jpg	pad, toad, frog, kikker	oog,
img/tt/560tt.jpg	img/gs/560gs.jpg	paddestoel, kikker, pad, toad, frog, mushroom, schimmel	hoed,
img/tt/562tt.jpg	img/gs/562gs.jpg	broodrooster, toaster	toast,
img/tt/573tt.jpg	img/gs/573gs.jpg	trein, train, locomotief, wagon, treinlocomotief	spoor,
img/tt/576tt.jpg	img/gs/576gs.jpg	trompet, schuiftrompet, trumpet, trombone, koperblazer, tuba	klankbeker (hoorn),
img/tt/582tt.jpg	img/gs/582gs.jpg	schildpad, turtle	schild,
img/tt/585tt.jpg	img/gs/585gs.jpg	viool, gitaar, instrument, cello, violin	strijkstok,
img/tt/588tt.jpg	img/gs/588gs.jpg	portefeuille, portemonnee, wallet, geldbeugel	?,
img/tt/593tt.jpg	img/gs/593gs.jpg	man, mens, persoon, human, vrouw, woman, women	arm,
img/tt/595tt.jpg	img/gs/595gs.jpg	walvis, whale, dolfijn, dolphin, orca, orka,walrus	(borst)vin,
img/tt/608tt.jpg	img/gs/608gs.jpg	vrouw, mens, man, persoon, mensen, human, woman, women, girl, lady, zittend, zwerver,indiaan,moslim,dame	arm,
img/tt/609tt.jpg	img/gs/609gs.jpg	luipaard, jachtluipaard, jaguar, leopard, puma, cheetah, tijger, panter	snuit,
img/tt/623tt.jpg	img/gs/623gs.jpg	olifant, slurf, elephant	staart,
img/tt/625tt.jpg	img/gs/625gs.jpg	mier, ant, insect	poot,
img/tt/627tt.jpg	img/gs/627gs.jpg	banaan, banana, bananas, bananen, tros bananen	bloem (bruin punt),
img/tt/629tt.jpg	img/gs/629gs.jpg	banaan, banana, bananas, bananen, tros bananen	?,
img/tt/643tt.jpg	img/gs/643gs.jpg	tas, boekentas, bag, aktetas, briefcase, schooltas, dokterstas	gesp,
img/tt/655tt.jpg	img/gs/655gs.jpg	ezel, donkey, donkeys, ezels, ezel, paard, paarden	neusgat,
img/tt/661tt.jpg	img/gs/661gs.jpg	eend,duck,eenden,fazant,bird,vogel,zwaan,duif,gans	snavel,
img/tt/676tt.jpg	img/gs/676gs.jpg	huis, gebouw, tuin, house, building, park, garden, hek, hekken, villa	dak/hek ?,
img/tt/683tt.jpg	img/gs/683gs.jpg	koala, koalabeertje, beertje	poot,
img/tt/691tt.jpg	img/gs/691gs.jpg	luipaard, leopard, puma, cheetah, tijger, jaguar, panter	snuit,
img/tt/721tt.jpg	img/gs/721gs.jpg	sinaasappel, pompelmoes,orange, appelsien, citroen, lemon, mandarijn, mandarine	vliesjes (witte stukjes) ?,
img/tt/728tt.jpg	img/gs/728gs.jpg	uil, owl, vogel, bird	snavel,
img/tt/729tt.jpg	img/gs/729gs.jpg	uil, owl, vogel, bird, uilen, uiltjes	poot,
img/tt/738tt.jpg	img/gs/738gs.jpg	paprika, pepper, peper, paprika, red pepper, green pepper	pitjes,
img/tt/745tt.jpg	img/gs/745gs.jpg	piano, klavier, keyboard	toetsen,
img/tt/773tt.jpg	img/gs/773gs.jpg	schildpad, turtle	poot,
img/tt/779tt.jpg	img/gs/779gs.jpg	horloge, uurwerk, watch, clock, time	,not
img/tt/781tt.jpg	img/gs/781gs.jpg	wolf, vos, fox, hond, dog	oor,
img/tt/792tt.jpg	img/gs/792gs.jpg	ananas, ananassen, ananasplant, plant, pineapple	schil,
img/tt/801tt.jpg	img/gs/801gs.jpg	bij, hommel, bee, wasp, insect, wesp	vleugel,
img/tt/809tt.jpg	img/gs/809gs.jpg	kever, insect, beestje, wants, bug, tor	schild,
img/tt/812tt.jpg	img/gs/812gs.jpg	kever, insect, beestje, wants, bug, tor	voelsprieten,
img/tt/817tt.jpg	img/gs/817gs.jpg	ezel, donkey, donkeys, ezels, ezel, paard, paarden	staart,
img/tt/823tt.jpg	img/gs/823gs.jpg	koala, koalabeertje, beertje, panda, beer	oog,
img/tt/850tt.jpg	img/gs/850gs.jpg	lieveheersbeestje, bug, kever, insect, beestje, ladybird, ladybug	vleugel,
img/tt/851tt.jpg	img/gs/851gs.jpg	auto, car, autozetel, autostuur, zetel, stuur	pook,
img/tt/852tt.jpg	img/gs/852gs.jpg	beer, bear, polar bear, ijsbeer, jong, ijsberen	oor,
img/tt/853tt.jpg	img/gs/853gs.jpg	fluit, fluitje, flute, whistle, scheidsrechterfluitje	mondstuk,
img/tt/854tt.jpg	img/gs/854gs.jpg	pizza, pizzastuk, pizza slice, pepperoni, cheese, salami, kaas	schep,
img/tt/855tt.jpg	img/gs/855gs.jpg	basketballer, basketter, basketbal, basketspeler, speler, player	bal,
img/tt/856tt.jpg	img/gs/856gs.jpg	stikmachine, stikken, naaien, naaimachine,	naald,
img/tt/857tt.jpg	img/gs/857gs.jpg	hamburger, cheeseburger, fast food, broodje, cheese, kaas	sla,
img/tt/858tt.jpg	img/gs/858gs.jpg	skier,skieen, skies, boom, snowboard, skier, skis, ski, skier, schansspringer	skilatten,
img/tt/859tt.jpg	img/gs/859gs.jpg	kangoeroe, kangaroo	staart,
img/tt/860tt.jpg	img/gs/860gs.jpg	baviaan, aap	poot,
img/tt/861tt.jpg	img/gs/861gs.jpg	strohoed, hoed	
